iter	RMSE
0	8933.237347
1	8289.947186
2	7735.417235
3	7234.664303
4	6813.736176
5	6435.275385
6	6090.361588
7	5791.175788
8	5539.473253
9	5318.987817
10	5114.455565
11	4939.443689
12	4791.617613
13	4663.221693
14	4545.824311
15	4444.91868
16	4354.623009
17	4268.662468
18	4202.470716
19	4133.409926
20	4080.783705
21	4020.812417
22	3974.10055
23	3931.789378
24	3888.478302
25	3853.602345
26	3822.698756
27	3796.462771
28	3776.020973
29	3758.77214
30	3735.342303
31	3714.341808
32	3696.540294
33	3682.957817
34	3667.579738
35	3647.23957
36	3630.720934
37	3616.52342
38	3603.448971
39	3590.325887
40	3578.438165
41	3568.504382
42	3560.124587
43	3552.162684
44	3543.445282
45	3529.227439
46	3523.748332
47	3516.96999
48	3507.414472
49	3494.234021
50	3487.961277
51	3480.176058
52	3470.125593
53	3463.692562
54	3451.903188
55	3442.2401
56	3430.42575
57	3421.338076
58	3415.186217
59	3410.567259
60	3404.678649
61	3397.338797
62	3392.616359
63	3378.882503
64	3372.561794
65	3368.090761
66	3361.983884
67	3353.924785
68	3346.139919
69	3342.951449
70	3339.487278
71	3333.001451
72	3329.541295
73	3324.285947
74	3321.794188
75	3317.550291
76	3315.179643
77	3310.078262
78	3306.986455
79	3300.075239
80	3298.072283
81	3292.143665
82	3285.202967
83	3278.236722
84	3272.738957
85	3268.283994
86	3258.344409
87	3254.482521
88	3247.255844
89	3242.836482
90	3240.035133
91	3237.564158
92	3235.453125
93	3233.422405
94	3226.954894
95	3219.355915
96	3213.332963
97	3208.574053
98	3200.369599
99	3198.872029
100	3196.473997
101	3193.166303
102	3188.023842
103	3182.014186
104	3176.322202
105	3174.100493
106	3172.252069
107	3164.703137
108	3158.331172
109	3151.712167
110	3149.109048
111	3144.869785
112	3140.63183
113	3138.330657
114	3133.386723
115	3130.53798
116	3126.778598
117	3123.954979
118	3119.264722
119	3115.453152
120	3113.026586
121	3111.361084
122	3108.940399
123	3102.394469
124	3097.35595
125	3094.541952
126	3088.477225
127	3085.620545
128	3078.724774
129	3075.207071
130	3071.060046
131	3069.3787
132	3066.826754
133	3059.424513
134	3051.254928
135	3046.371008
136	3043.348518
137	3039.185467
138	3034.362028
139	3027.318302
140	3023.473176
141	3020.93808
142	3017.021399
143	3013.91684
144	3011.58537
145	3007.791773
146	3004.438982
147	3003.455694
148	3001.970624
149	2999.830102
150	2995.537371
151	2990.711347
152	2987.663342
153	2983.647891
154	2980.055964
155	2975.899863
156	2973.259985
157	2969.039423
158	2964.431092
159	2963.768686
160	2960.242971
161	2955.592011
162	2954.37616
163	2950.607951
164	2947.125733
165	2942.424025
166	2938.624767
167	2936.20984
168	2933.360711
169	2929.942285
170	2928.377768
171	2926.269626
172	2924.276997
173	2922.152883
174	2919.173781
175	2915.945137
176	2912.413894
177	2909.848927
178	2908.446805
179	2905.401721
180	2902.236792
181	2897.915333
182	2895.0747
183	2893.5658
184	2891.715932
185	2889.684902
186	2886.660112
187	2884.156027
188	2882.458429
189	2879.549869
190	2875.6165
191	2872.206364
192	2870.888972
193	2870.345864
194	2868.7745
195	2866.401005
196	2864.935518
197	2863.678749
198	2860.910169
199	2858.486231
200	2853.972027
201	2853.060704
202	2849.811679
203	2848.194821
204	2845.165154
205	2842.61718
206	2839.982698
207	2838.889016
208	2833.840958
209	2832.096598
210	2830.998715
211	2826.999674
212	2825.466865
213	2822.758292
214	2820.747478
215	2817.958484
216	2815.21669
217	2813.691412
218	2811.977157
219	2809.029825
220	2807.227519
221	2804.605425
222	2802.718433
223	2800.177393
224	2798.494748
225	2797.995602
226	2796.53082
227	2793.844393
228	2792.064209
229	2790.514554
230	2788.838101
231	2786.952609
232	2785.018861
233	2784.185862
234	2781.178205
235	2780.480083
236	2778.303133
237	2775.922836
238	2774.587581
239	2771.226637
240	2768.663045
241	2766.891929
242	2765.012027
243	2763.505498
244	2761.947222
245	2759.534296
246	2759.081749
247	2758.149599
248	2755.327961
249	2753.824745
250	2752.782092
251	2752.117028
252	2749.249936
253	2747.70664
254	2745.157725
255	2744.164822
256	2742.97525
257	2740.75389
258	2738.823204
259	2736.525859
260	2735.43177
261	2733.461724
262	2732.765925
263	2730.558122
264	2729.631961
265	2725.682961
266	2724.131267
267	2722.544298
268	2721.716064
269	2720.670122
270	2717.849741
271	2714.944352
272	2712.993641
273	2711.423677
274	2708.747941
275	2705.981014
276	2704.197875
277	2701.816156
278	2699.701632
279	2698.09408
280	2697.504056
281	2696.566389
282	2693.161064
283	2691.249106
284	2689.545593
285	2687.836284
286	2686.605638
287	2684.903747
288	2683.871339
289	2682.834113
290	2681.325177
291	2676.347808
292	2673.361681
293	2671.2629
294	2667.47474
295	2666.418102
296	2665.250438
297	2664.336871
298	2661.39657
299	2659.925277
300	2658.802896
301	2656.37909
302	2655.368852
303	2653.244897
304	2651.218716
305	2648.996045
306	2648.411602
307	2648.161947
308	2645.614337
309	2643.300177
310	2642.650419
311	2640.987395
312	2639.992021
313	2638.357696
314	2636.990773
315	2635.142021
316	2633.53372
317	2632.83605
318	2632.154505
319	2630.5593
320	2628.545032
321	2625.946471
322	2623.946737
323	2622.515864
324	2621.682074
325	2620.495881
326	2619.085056
327	2616.304728
328	2614.896645
329	2614.098904
330	2611.646134
331	2611.031172
332	2609.133076
333	2608.362102
334	2606.251532
335	2605.416461
336	2604.085867
337	2602.451383
338	2599.363455
339	2597.784079
340	2594.993533
341	2594.004468
342	2591.652508
343	2590.386901
344	2589.863355
345	2588.238767
346	2585.943623
347	2583.748831
348	2582.557959
349	2580.753471
350	2579.352058
351	2577.861934
352	2576.394278
353	2575.906699
354	2575.612631
355	2574.264329
356	2573.922099
357	2571.65496
358	2570.7203
359	2569.304582
360	2568.179374
361	2566.907689
362	2565.609158
363	2564.429873
364	2563.273334
365	2562.002247
366	2560.411721
367	2559.364801
368	2558.604239
369	2556.822185
370	2555.468929
371	2554.093985
372	2551.048579
373	2549.640942
374	2548.37581
375	2547.389592
376	2546.757348
377	2545.697344
378	2544.546271
379	2543.98412
380	2543.098055
381	2542.222538
382	2541.157424
383	2540.189087
384	2539.326334
385	2538.69796
386	2537.415448
387	2537.007328
388	2534.001816
389	2533.518102
390	2532.165067
391	2530.111655
392	2527.889739
393	2527.1337
394	2525.460259
395	2523.516352
396	2522.405084
397	2521.609215
398	2519.790612
399	2518.136891
400	2516.95234
401	2516.45698
402	2515.416311
403	2514.614896
404	2513.554025
405	2512.525741
406	2510.852335
407	2510.430369
408	2509.767799
409	2509.153859
410	2508.127766
411	2507.199185
412	2505.885296
413	2504.31807
414	2503.697568
415	2502.185839
416	2501.47916
417	2500.357607
418	2499.522655
419	2497.865173
420	2497.122886
421	2496.165887
422	2495.081357
423	2494.015702
424	2492.684694
425	2490.61794
426	2488.715657
427	2487.647439
428	2486.859354
429	2485.420709
430	2484.435998
431	2482.310078
432	2481.440796
433	2480.048468
434	2479.447371
435	2478.611974
436	2476.821726
437	2475.682727
438	2475.134506
439	2474.798312
440	2473.422578
441	2472.305746
442	2471.351462
443	2469.683518
444	2468.512652
445	2467.5429
446	2466.594234
447	2465.755974
448	2464.962881
449	2464.193094
450	2463.615098
451	2462.341717
452	2461.517707
453	2460.118924
454	2458.778463
455	2458.414752
456	2457.930801
457	2457.202741
458	2456.658219
459	2455.272904
460	2453.898055
461	2453.2493
462	2452.225992
463	2451.363722
464	2450.275549
465	2449.316689
466	2448.415151
467	2447.646174
468	2447.206876
469	2445.893944
470	2444.958701
471	2443.979185
472	2442.862867
473	2442.732142
474	2441.29404
475	2439.98312
476	2439.336867
477	2437.195599
478	2436.797876
479	2436.525868
480	2435.642091
481	2434.854638
482	2433.838716
483	2432.967576
484	2431.799713
485	2431.083421
486	2430.693951
487	2430.338402
488	2428.77571
489	2427.962622
490	2427.048099
491	2426.009188
492	2423.874703
493	2422.089407
494	2420.954467
495	2418.666506
496	2417.942688
497	2417.38205
498	2416.007216
499	2414.438974
500	2413.881926
501	2413.2829
502	2411.831222
503	2411.21083
504	2410.492745
505	2409.178473
506	2408.605185
507	2408.129561
508	2407.116204
509	2406.329356
510	2405.753859
511	2404.602791
512	2402.857204
513	2401.1559
514	2399.581445
515	2398.379681
516	2397.334828
517	2396.868825
518	2396.322878
519	2395.801468
520	2395.275164
521	2394.705719
522	2393.964238
523	2393.411222
524	2393.025701
525	2391.949535
526	2390.67655
527	2390.022182
528	2389.097414
529	2388.733363
530	2387.24038
531	2386.351544
532	2385.0964
533	2384.775288
534	2383.93047
535	2383.297582
536	2382.27083
537	2381.632779
538	2381.225862
539	2380.161454
540	2379.578941
541	2378.83962
542	2378.46145
543	2377.488503
544	2375.187938
545	2374.773116
546	2373.41529
547	2372.415973
548	2371.163626
549	2370.329827
550	2369.668201
551	2369.126945
552	2368.734278
553	2368.300888
554	2367.641977
555	2366.185194
556	2364.720856
557	2364.304111
558	2363.208984
559	2362.003947
560	2360.573131
561	2359.976774
562	2359.279316
563	2358.809088
564	2357.918378
565	2357.289174
566	2356.675677
567	2356.240937
568	2355.703365
569	2355.05968
570	2354.55683
571	2353.535954
572	2353.184212
573	2352.23036
574	2351.473225
575	2350.414479
576	2349.719839
577	2349.074427
578	2348.553843
579	2348.259599
580	2347.274656
581	2346.847756
582	2346.441864
583	2345.892722
584	2344.946715
585	2344.021607
586	2343.263652
587	2342.505452
588	2341.339531
589	2340.653901
590	2339.578987
591	2338.776585
592	2338.574127
593	2337.583966
594	2337.243119
595	2336.955586
596	2335.039487
597	2334.456574
598	2333.867384
599	2333.287945
600	2332.586452
601	2331.773315
602	2331.225716
603	2330.830875
604	2329.905514
605	2328.771474
606	2328.150462
607	2327.542372
608	2326.981038
609	2325.637241
610	2324.257924
611	2323.748057
612	2323.245646
613	2322.813714
614	2322.500188
615	2321.729571
616	2321.31462
617	2320.336653
618	2319.089681
619	2318.103104
620	2316.938139
621	2315.953822
622	2315.52468
623	2314.447634
624	2313.119713
625	2312.244117
626	2311.566573
627	2310.421761
628	2309.429533
629	2309.069921
630	2308.612136
631	2307.795778
632	2307.078026
633	2306.458265
634	2306.158294
635	2305.232342
636	2304.437942
637	2303.003851
638	2302.543528
639	2301.977609
640	2301.507931
641	2300.849351
642	2300.443163
643	2299.715916
644	2298.726982
645	2298.204602
646	2297.453243
647	2295.979796
648	2295.162241
649	2293.212827
650	2292.588782
651	2291.918807
652	2290.541231
653	2290.13143
654	2289.115671
655	2288.126712
656	2287.212499
657	2286.033402
658	2285.167378
659	2284.363494
660	2283.569623
661	2282.867897
662	2282.263149
663	2280.910843
664	2280.291231
665	2279.755569
666	2279.228751
667	2278.29302
668	2278.01088
669	2277.670093
670	2277.124118
671	2276.423818
672	2275.903415
673	2274.775525
674	2274.464635
675	2272.832732
676	2271.396597
677	2270.605305
678	2270.087891
679	2269.741681
680	2269.217313
681	2268.927286
682	2268.112869
683	2267.625449
684	2267.263895
685	2266.771332
686	2266.223904
687	2265.929073
688	2265.685096
689	2265.316735
690	2264.765074
691	2264.384555
692	2263.728811
693	2263.175679
694	2262.294127
695	2261.112434
696	2260.665285
697	2259.898822
698	2259.258155
699	2258.446679
700	2257.7826
701	2257.320301
702	2257.137257
703	2256.671654
704	2255.51593
705	2254.982723
706	2254.628391
707	2253.839012
708	2253.231464
709	2252.458478
710	2252.220576
711	2251.570369
712	2250.362786
713	2250.007363
714	2249.779106
715	2249.307891
716	2248.639659
717	2248.15511
718	2247.617519
719	2246.216869
720	2245.723695
721	2244.730738
722	2244.396102
723	2243.59793
724	2243.410394
725	2242.147629
726	2241.610604
727	2240.991621
728	2240.491183
729	2240.087741
730	2239.588927
731	2239.271508
732	2238.53005
733	2237.98421
734	2237.306382
735	2236.453301
736	2235.849623
737	2234.90314
738	2234.684594
739	2234.39228
740	2234.033127
741	2233.618175
742	2233.166986
743	2232.702886
744	2232.467091
745	2231.991305
746	2231.490956
747	2230.348032
748	2230.022605
749	2229.489079
750	2228.575304
751	2227.978209
752	2227.91159
753	2227.666019
754	2226.865706
755	2226.455112
756	2226.270907
757	2225.637462
758	2225.345522
759	2225.047756
760	2224.41387
761	2224.103662
762	2223.856659
763	2223.634452
764	2223.230894
765	2222.946639
766	2221.976258
767	2221.773831
768	2221.653102
769	2220.335425
770	2219.714654
771	2219.286247
772	2219.034286
773	2218.754653
774	2218.582434
775	2217.873789
776	2217.578522
777	2216.939919
778	2216.411544
779	2215.450574
780	2214.93329
781	2214.46583
782	2214.011477
783	2213.371105
784	2213.01593
785	2212.260498
786	2211.79044
787	2210.643619
788	2209.671258
789	2209.491947
790	2208.871923
791	2208.357541
792	2207.761089
793	2207.3324
794	2206.919839
795	2206.366827
796	2205.2259
797	2204.892964
798	2204.394255
799	2203.864079
800	2203.088805
801	2202.28281
802	2201.943394
803	2201.66707
804	2200.857117
805	2200.541729
806	2200.260119
807	2200.009695
808	2199.22637
809	2198.496235
810	2197.911339
811	2197.584365
812	2197.235943
813	2196.698734
814	2194.441543
815	2193.414652
816	2193.293294
817	2192.463557
818	2191.821367
819	2191.53509
820	2191.283204
821	2190.898507
822	2190.585979
823	2190.17073
824	2189.797789
825	2189.434961
826	2189.222428
827	2188.568358
828	2188.207663
829	2187.651416
830	2187.028845
831	2186.573559
832	2186.016241
833	2185.442131
834	2184.910911
835	2184.55401
836	2184.320973
837	2183.619185
838	2182.840467
839	2182.520041
840	2181.817486
841	2181.349303
842	2181.21134
843	2180.334905
844	2180.161057
845	2179.819416
846	2179.472094
847	2179.082967
848	2178.143165
849	2177.629505
850	2176.913727
851	2176.334209
852	2175.99394
853	2175.655028
854	2175.261552
855	2174.167304
856	2173.430068
857	2173.071188
858	2172.173774
859	2171.818169
860	2171.180418
861	2170.733863
862	2169.732499
863	2169.343698
864	2168.369128
865	2168.058727
866	2167.810054
867	2167.749791
868	2167.135748
869	2166.307317
870	2165.743935
871	2165.088626
872	2164.829979
873	2164.456449
874	2164.21303
875	2163.58003
876	2163.383952
877	2163.118674
878	2162.828977
879	2162.264594
880	2161.621471
881	2161.282859
882	2160.829433
883	2160.666978
884	2160.31705
885	2160.194306
886	2160.011549
887	2159.468394
888	2158.706629
889	2157.610428
890	2157.111307
891	2156.673877
892	2156.291065
893	2156.077256
894	2155.98196
895	2154.969187
896	2154.743956
897	2154.066604
898	2153.866527
899	2153.451508
900	2152.567569
901	2152.316821
902	2152.119621
903	2151.888012
904	2151.612766
