iter	Passed	Remaining
407	4600	45799
408	4611	45783
409	4621	45766
410	4632	45751
411	4643	45739
412	4655	45730
413	4666	45716
414	4677	45705
415	4688	45685
416	4698	45670
417	4710	45660
418	4722	45658
419	4732	45639
420	4743	45624
421	4755	45620
422	4766	45606
423	4777	45587
424	4788	45573
425	4798	45553
426	4809	45535
427	4820	45523
428	4831	45506
429	4841	45484
430	4851	45462
431	4861	45440
432	4872	45429
433	4883	45413
434	4893	45391
435	4903	45372
436	4914	45354
437	4924	45332
438	4935	45315
439	4946	45301
440	4956	45285
441	4967	45272
442	4979	45266
443	4991	45257
444	5001	45240
445	5012	45223
446	5023	45210
447	5034	45198
448	5045	45186
449	5055	45164
450	5065	45142
451	5075	45121
452	5086	45102
453	5096	45084
454	5106	45063
455	5116	45041
456	5127	45022
457	5137	45000
458	5147	44980
459	5157	44963
460	5168	44945
461	5178	44926
462	5188	44905
463	5199	44887
464	5210	44873
465	5220	44854
466	5230	44836
467	5241	44820
468	5251	44798
469	5261	44780
470	5272	44762
471	5282	44743
472	5292	44722
473	5302	44702
474	5312	44683
475	5323	44666
476	5334	44652
477	5344	44634
478	5354	44614
479	5364	44594
480	5374	44575
481	5385	44558
482	5396	44542
483	5406	44523
484	5416	44503
485	5426	44485
486	5436	44465
487	5447	44448
488	5457	44430
489	5468	44417
490	5479	44401
491	5489	44381
492	5498	44359
493	5509	44346
494	5520	44329
495	5530	44314
496	5540	44294
497	5551	44276
498	5561	44259
499	5572	44245
500	5583	44234
501	5594	44218
502	5604	44197
503	5614	44184
504	5625	44166
505	5635	44151
506	5647	44142
507	5658	44129
508	5668	44114
509	5679	44103
510	5691	44092
511	5702	44083
512	5714	44074
513	5725	44062
514	5735	44047
515	5746	44036
516	5758	44029
517	5770	44028
518	5783	44026
519	5795	44023
520	5807	44016
521	5819	44010
522	5831	44008
523	5843	44004
524	5854	43992
525	5865	43979
526	5876	43967
527	5887	43956
528	5898	43946
529	5909	43934
530	5921	43922
531	5932	43913
532	5944	43908
533	5956	43905
534	5968	43900
535	5979	43884
536	5990	43870
537	6000	43858
538	6011	43846
539	6022	43833
540	6034	43822
541	6044	43806
542	6054	43788
543	6064	43769
544	6075	43756
545	6086	43740
546	6096	43722
547	6106	43704
548	6117	43688
549	6127	43671
550	6137	43654
551	6147	43635
552	6157	43615
553	6167	43597
554	6178	43580
555	6188	43565
556	6199	43553
557	6209	43536
558	6220	43519
559	6230	43503
560	6240	43486
561	6251	43470
